percent;density
0;1
1;0,99811
2;0,99627
2,5;
3;0,99447
4;0,99274
4,8;
5;0,99106
5,05;
6;0,98945
6,8;
7;0,98788
8;0,98634
9;0,98481
10;0,9833
11;0,98184
11,3;
12;0,98039
13;0,97897
13,78;
14;0,97757
15;0,97619
15,02;
16;0,97484
16,4;
17;0,97346
17,5;
18;0,97207
18,8;
19;0,97065
20;0,96922
20,01;
20,3;
21;0,96778
22;0,9663
22,11;
23;0,96481
24;0,96329
24,2;
25;0,96176
26;0,96018
26,7;
27;0,95856
28;0,95689
29;0,9552
29,9;
30;0,95345
31;0,95168
32;0,94986
33;0,94802
33,8;
34;0,94613
35;0,94422
35,04;
36;0,94227
37;0,94031
38;0,9383
39;0,93626
40;0,93421
40,04;
41;0,93212
42;0,93001
43;0,92787
44;0,92571
45;0,92355
45,31;
46;0,92137
46,3;
47;0,91917
48;0,91697
49;0,91475
50;0,91251
50,16;
51;0,91026
52;0,90799
53;0,90571
54;0,90343
55;0,90113
55,16;
56;0,89833
56,1;
57;0,89654
58;0,89423
59;0,89191
60;0,88959
60,33;
61;0,88725
62;0,88491
63;0,88256
64;0,8802
65;0,87783
66;0,87547
67;0,87309
68;0,87071
69;0,86833
70;0,86593
71;0,86352
71,9;
72;0,8611
73;0,85869
74;0,85626
75;0,85383
76;0,8514
77;0,84895
78;0,8465
79;0,84404
80;0,84157
81;0,83909
82;0,83659
83;0,83408
84;0,83156
85;0,82902
86;0,82646
87;0,82389
88;0,82128
89;0,81865
90;0,816
91;0,81331
92;0,8106
93;0,80785
94;0,80507
95;0,80225
96;0,79939
97;0,79648
98;0,79349
99;0,79045
100;
